时间,交易对,操作,价格,数量,盈亏金额,盈亏比例,买入手续费,卖出手续费,原因
2025-04-20 17:49:09,BTC/USDT,STOP_LOSS,84462.090000,0.001000,-0.315681,-0.37,0.084609,0.084462,atr
2025-04-20 17:49:10,DOGE/USDT,STOP_LOSS,0.155000,20.000000,-0.031625,-1.01,0.003125,0.003100,atr
2025-04-20 17:50:29,DOGE/USDT,BUY,0.154880,20.000000,,,0.003098,,
2025-04-20 17:56:04,BTC/USDT,BUY,84520.310000,0.001000,,,0.084520,,
2025-04-20 18:04:23,BTC/USDT,STOP_LOSS,84486.510000,0.001000,-0.202807,-0.24,0.084520,0.084487,atr
2025-04-20 18:09:02,BTC/USDT,BUY,84453.160000,0.001000,,,0.084453,,
2025-04-20 18:15:18,BTC/USDT,STOP_LOSS,84430.010000,0.001000,-0.192033,-0.23,0.084453,0.084430,atr
2025-04-20 18:17:07,BTC/USDT,BUY,84419.340000,0.001000,,,0.084419,,
2025-04-20 18:29:06,BTC/USDT,STOP_LOSS,84417.970000,0.001000,-0.170207,-0.20,0.084419,0.084418,macd
2025-04-20 18:30:16,BTC/USDT,BUY,84391.090000,0.001000,,,0.084391,,
2025-04-20 18:38:09,BTC/USDT,STOP_LOSS,84384.830000,0.001000,-0.175036,-0.21,0.084391,0.084385,macd
2025-04-20 18:39:36,BTC/USDT,BUY,84362.180000,0.001000,,,0.084362,,
2025-04-20 19:34:59,BTC/USDT,STOP_LOSS,84098.640000,0.001000,-0.432001,-0.51,0.084362,0.084099,atr
2025-04-20 19:35:00,ETH/USDT,STOP_LOSS,1573.670000,0.020000,-0.349033,-1.10,0.031759,0.031473,atr
2025-04-20 19:35:02,DOGE/USDT,STOP_LOSS,0.153340,20.000000,-0.036964,-1.19,0.003098,0.003067,atr
2025-04-20 19:35:10,ETH/USDT,BUY,1573.990000,0.020000,,,0.031480,,
2025-04-20 19:38:40,DOGE/USDT,BUY,0.153320,20.000000,,,0.003066,,
2025-04-20 19:39:06,BTC/USDT,BUY,84077.910000,0.001000,,,0.084078,,
2025-04-20 19:40:40,ETH/USDT,STOP_LOSS,1570.100000,0.020000,-0.140682,-0.45,0.031480,0.031402,atr
2025-04-20 19:42:10,ETH/USDT,BUY,1571.100000,0.020000,,,0.031422,,
2025-04-20 19:43:15,DOGE/USDT,STOP_LOSS,0.153060,20.000000,-0.011328,-0.37,0.003066,0.003061,macd
2025-04-20 19:44:31,DOGE/USDT,BUY,0.153140,20.000000,,,0.003063,,
2025-04-20 19:44:39,DOGE/USDT,STOP_LOSS,0.153120,20.000000,-0.006525,-0.21,0.003063,0.003062,macd
2025-04-20 19:45:17,DOGE/USDT,BUY,0.153140,20.000000,,,0.003063,,
2025-04-20 19:45:52,BTC/USDT,STOP_LOSS,84016.680000,0.001000,-0.229325,-0.27,0.084078,0.084017,macd
2025-04-20 19:45:54,ETH/USDT,STOP_LOSS,1566.380000,0.020000,-0.157150,-0.50,0.031422,0.031328,atr
2025-04-20 19:46:08,ETH/USDT,BUY,1567.750000,0.020000,,,0.031355,,
2025-04-20 19:46:16,BTC/USDT,BUY,83990.050000,0.001000,,,0.083990,,
2025-04-20 23:50:34,DOGE/USDT,STOP_LOSS,0.153110,20.000000,-0.006725,-0.22,0.003063,0.003062,macd
2025-04-20 23:50:41,DOGE/USDT,BUY,0.152900,20.000000,,,0.003058,,
2025-04-20 23:50:55,DOGE/USDT,STOP_LOSS,0.152810,20.000000,-0.007914,-0.26,0.003058,0.003056,macd
